Date,BTC,SOL
2022-11-17,16687.517578125,13.638734817504883
2022-11-18,16697.77734375,13.247496604919434
2022-11-19,16711.546875,12.851014137268066
2022-11-20,16291.83203125,12.252833366394043
2022-11-21,15787.2841796875,11.846208572387695
2022-11-22,16189.76953125,12.435625076293945
2022-11-23,16610.70703125,14.35151195526123
2022-11-24,16604.46484375,14.582350730895996
2022-11-25,16521.841796875,14.063138008117676
2022-11-26,16464.28125,14.159193992614746
2022-11-27,16444.626953125,14.115766525268555
2022-11-28,16217.322265625,13.404518127441406
2022-11-29,16444.982421875,13.369733810424805
2022-11-30,17168.56640625,14.115445137023926
2022-12-01,16967.1328125,13.480968475341797
2022-12-02,17088.66015625,13.7156400680542
2022-12-03,16908.236328125,13.302457809448242
2022-12-04,17130.486328125,13.718218803405762
2022-12-05,16974.826171875,13.8311128616333
2022-12-06,17089.50390625,14.288854598999023
2022-12-07,16848.126953125,13.5196533203125
2022-12-08,17233.474609375,13.68922233581543
2022-12-09,17133.15234375,13.580187797546387
2022-12-10,17128.724609375,13.576995849609375
2022-12-11,17104.193359375,13.427809715270996
2022-12-12,17206.4375,13.318544387817383
2022-12-13,17781.318359375,13.833986282348633
2022-12-14,17815.650390625,14.140525817871094
2022-12-15,17364.865234375,14.02151107788086
2022-12-16,16647.484375,12.266606330871582
2022-12-17,16795.091796875,12.504404067993164
2022-12-18,16757.9765625,12.41312026977539
2022-12-19,16439.6796875,11.932655334472656
2022-12-20,16906.3046875,12.28051471710205
2022-12-21,16817.53515625,12.128985404968262
2022-12-22,16830.341796875,11.794829368591309
2022-12-23,16796.953125,11.786166191101074
2022-12-24,16847.755859375,11.444275856018066
2022-12-25,16841.986328125,11.387903213500977
2022-12-26,16919.8046875,11.306611061096191
2022-12-27,16717.173828125,11.085430145263672
2022-12-28,16552.572265625,9.755906105041504
2022-12-29,16642.341796875,9.651782989501953
2022-12-30,16602.5859375,9.880176544189453
2022-12-31,16547.49609375,9.961038589477539
2023-01-01,16625.080078125,9.982172966003418
2023-01-02,16688.470703125,11.272967338562012
2023-01-03,16679.857421875,13.344045639038086
2023-01-04,16863.23828125,13.435112953186035
2023-01-05,16836.736328125,13.419329643249512
2023-01-06,16951.96875,13.52584171295166
2023-01-07,16955.078125,13.092267990112305
2023-01-08,17091.14453125,14.31993293762207
2023-01-09,17196.5546875,16.30246353149414
2023-01-10,17446.29296875,16.19672393798828
2023-01-11,17934.896484375,16.35941505432129
2023-01-12,18869.587890625,16.619043350219727
2023-01-13,19909.57421875,18.28844451904297
2023-01-14,20976.298828125,24.24945831298828
2023-01-15,20880.798828125,22.873306274414062
2023-01-16,21169.6328125,23.577564239501953
2023-01-17,21161.51953125,22.884063720703125
2023-01-18,20688.78125,20.85063362121582
2023-01-19,21086.79296875,21.42676544189453
2023-01-20,22676.552734375,25.54827117919922
2023-01-21,22777.625,24.627838134765625
2023-01-22,22720.416015625,24.232789993286133
2023-01-23,22934.431640625,24.357807159423828
2023-01-24,22636.46875,22.795673370361328
2023-01-25,23117.859375,24.57144546508789
2023-01-26,23032.77734375,24.350696563720703
2023-01-27,23078.728515625,24.40785789489746
2023-01-28,23031.08984375,23.981801986694336
2023-01-29,23774.56640625,26.132387161254883
2023-01-30,22840.138671875,23.946321487426758
2023-01-31,23139.283203125,23.952547073364258
2023-02-01,23723.76953125,24.993358612060547
2023-02-02,23471.87109375,24.265058517456055
2023-02-03,23449.322265625,24.680896759033203
2023-02-04,23331.84765625,24.317745208740234
2023-02-05,22955.666015625,23.493438720703125
2023-02-06,22760.109375,22.706388473510742
2023-02-07,23264.291015625,23.861356735229492
2023-02-08,22939.3984375,23.192670822143555
2023-02-09,21819.0390625,20.45212745666504
2023-02-10,21651.18359375,20.130109786987305
2023-02-11,21870.875,20.830095291137695
2023-02-12,21788.203125,21.489978790283203
2023-02-13,21808.1015625,20.79010009765625
2023-02-14,22220.8046875,21.824953079223633
2023-02-15,24307.841796875,23.883901596069336
2023-02-16,23623.474609375,22.285951614379883
2023-02-17,24565.6015625,23.166757583618164
2023-02-18,24641.27734375,23.478591918945312
2023-02-19,24327.642578125,24.84075164794922
2023-02-20,24829.1484375,26.181386947631836
2023-02-21,24436.353515625,24.948558807373047
2023-02-22,24188.84375,24.18134880065918
2023-02-23,23947.4921875,23.900800704956055
2023-02-24,23198.126953125,23.053035736083984
2023-02-25,23175.375,22.523399353027344
2023-02-26,23561.212890625,23.256088256835938
2023-02-27,23522.87109375,22.692588806152344
2023-02-28,23147.353515625,21.9163875579834
2023-03-01,23646.55078125,22.506431579589844
2023-03-02,23475.466796875,21.984878540039062
2023-03-03,22362.6796875,21.39935302734375
2023-03-04,22353.349609375,20.966838836669922
2023-03-05,22435.513671875,20.97858428955078
2023-03-06,22429.7578125,20.635011672973633
2023-03-07,22219.76953125,20.244731903076172
2023-03-08,21718.080078125,18.421194076538086
2023-03-09,20363.021484375,17.308147430419922
2023-03-10,20187.244140625,18.243642807006836
2023-03-11,20632.41015625,18.22584342956543
2023-03-12,22163.94921875,20.310531616210938
2023-03-13,24197.533203125,20.433712005615234
2023-03-14,24746.07421875,20.92803382873535
2023-03-15,24375.9609375,19.29098129272461
2023-03-16,25052.7890625,19.73054313659668
2023-03-17,27423.9296875,21.62910270690918
2023-03-18,26965.87890625,21.19590187072754
2023-03-19,28038.67578125,21.90340232849121
2023-03-20,27767.236328125,22.176464080810547
2023-03-21,28175.81640625,22.618267059326172
2023-03-22,27307.4375,21.480485916137695
2023-03-23,28333.97265625,22.216777801513672
2023-03-24,27493.28515625,20.678855895996094
2023-03-25,27494.70703125,20.446645736694336
2023-03-26,27994.330078125,20.97551918029785
2023-03-27,27139.888671875,19.921674728393555
2023-03-28,27268.130859375,20.4706974029541
2023-03-29,28348.44140625,21.111467361450195
2023-03-30,28033.5625,20.55104637145996
2023-03-31,28478.484375,21.170495986938477
2023-04-01,28411.03515625,20.97564125061035
2023-04-02,28199.30859375,20.536975860595703
2023-04-03,27790.220703125,20.443050384521484
2023-04-04,28168.08984375,20.924619674682617
2023-04-05,28177.984375,20.966007232666016
2023-04-06,28044.140625,20.61012840270996
2023-04-07,27925.859375,20.469940185546875
2023-04-08,27947.794921875,20.036449432373047
2023-04-09,28333.05078125,20.29946517944336
2023-04-10,29652.98046875,20.882356643676758
2023-04-11,30235.05859375,23.018827438354492
2023-04-12,30139.052734375,23.985305786132812
2023-04-13,30399.06640625,24.432308197021484
2023-04-14,30485.69921875,24.772722244262695
2023-04-15,30318.49609375,24.079378128051758
2023-04-16,30315.35546875,25.361927032470703
2023-04-17,29445.044921875,24.55884552001953
2023-04-18,30397.552734375,24.852689743041992
2023-04-19,28822.6796875,22.71283531188965
2023-04-20,28245.98828125,22.181440353393555
2023-04-21,27276.91015625,21.278135299682617
2023-04-22,27817.5,21.816287994384766
2023-04-23,27591.384765625,21.480138778686523
2023-04-24,27525.33984375,21.391069412231445
2023-04-25,28307.59765625,21.92725372314453
2023-04-26,28422.701171875,21.28301239013672
2023-04-27,29473.787109375,22.34011459350586
2023-04-28,29340.26171875,23.366287231445312
2023-04-29,29248.48828125,23.18299674987793
2023-04-30,29268.806640625,22.832014083862305
2023-05-01,28091.568359375,21.98663330078125
2023-05-02,28680.537109375,22.264978408813477
2023-05-03,29006.30859375,22.218002319335938
2023-05-04,28847.7109375,21.730348587036133
2023-05-05,29534.384765625,22.82611083984375
2023-05-06,28904.623046875,21.974262237548828
2023-05-07,28454.978515625,21.844228744506836
2023-05-08,27694.2734375,20.65746307373047
2023-05-09,27658.775390625,20.683645248413086
2023-05-10,27621.755859375,20.953710556030273
2023-05-11,27000.7890625,20.234880447387695
2023-05-12,26804.990234375,20.911794662475586
2023-05-13,26784.078125,20.86876106262207
2023-05-14,26930.638671875,20.953397750854492
2023-05-15,27192.693359375,21.00718879699707
2023-05-16,27036.650390625,20.679420471191406
2023-05-17,27398.802734375,21.06839942932129
2023-05-18,26832.208984375,20.348695755004883
2023-05-19,26890.12890625,20.349870681762695
2023-05-20,27129.5859375,20.285446166992188
2023-05-21,26753.826171875,19.609437942504883
2023-05-22,26851.27734375,19.54204559326172
2023-05-23,27225.7265625,20.043182373046875
2023-05-24,26334.818359375,19.223663330078125
2023-05-25,26476.20703125,19.260662078857422
2023-05-26,26719.291015625,19.36695671081543
2023-05-27,26868.353515625,20.425233840942383
2023-05-28,28085.646484375,20.7985782623291
2023-05-29,27745.884765625,20.586509704589844
2023-05-30,27702.349609375,21.25408363342285
2023-05-31,27219.658203125,20.82450294494629
2023-06-01,26819.97265625,20.50221824645996
2023-06-02,27249.58984375,21.25759506225586
2023-06-03,27075.12890625,21.15556526184082
2023-06-04,27119.06640625,21.8189754486084
2023-06-05,25760.09765625,20.07505989074707
2023-06-06,27238.783203125,20.398483276367188
2023-06-07,26345.998046875,18.6342830657959
2023-06-08,26508.216796875,18.909475326538086
2023-06-09,26480.375,17.37969970703125
2023-06-10,25851.240234375,15.65610122680664
2023-06-11,25940.16796875,15.558775901794434
2023-06-12,25902.5,15.196707725524902
2023-06-13,25918.728515625,15.018193244934082
2023-06-14,25124.67578125,14.486572265625
2023-06-15,25576.39453125,14.759472846984863
2023-06-16,26327.462890625,15.30825424194336
2023-06-17,26510.67578125,15.650521278381348
2023-06-18,26336.212890625,15.43823528289795
2023-06-19,26851.029296875,16.073041915893555
2023-06-20,28327.48828125,16.635231018066406
2023-06-21,30027.296875,17.25704574584961
2023-06-22,29912.28125,16.642620086669922
2023-06-23,30695.46875,17.149534225463867
2023-06-24,30548.6953125,16.652862548828125
2023-06-25,30480.26171875,16.97138023376465
2023-06-26,30271.130859375,16.27002716064453
2023-06-27,30688.1640625,16.61964988708496
2023-06-28,30086.24609375,15.98684310913086
2023-06-29,30445.3515625,17.970457077026367
2023-06-30,30477.251953125,18.897321701049805
2023-07-01,30590.078125,18.683902740478516
2023-07-02,30620.76953125,19.453594207763672
2023-07-03,31156.439453125,19.240537643432617
2023-07-04,30777.58203125,19.14322853088379
2023-07-05,30514.166015625,18.99286460876465
2023-07-06,29909.337890625,19.729385375976562
2023-07-07,30342.265625,21.484664916992188
2023-07-08,30292.541015625,21.859268188476562
2023-07-09,30171.234375,21.3490047454834
2023-07-10,30414.470703125,21.31377601623535
2023-07-11,30620.951171875,22.092933654785156
2023-07-12,30391.646484375,21.977602005004883
2023-07-13,31476.048828125,26.02569580078125
2023-07-14,30334.068359375,26.7357177734375
2023-07-15,30295.806640625,27.391355514526367
2023-07-16,30249.1328125,27.384082794189453
2023-07-17,30145.888671875,26.872766494750977
2023-07-18,29856.5625,25.544504165649414
2023-07-19,29913.923828125,26.372352600097656
2023-07-20,29792.015625,25.375167846679688
2023-07-21,29908.744140625,25.544267654418945
2023-07-22,29771.802734375,24.535053253173828
